group,team,elo,played,points,gd,gf,p_first,p_second,p_third,p_best_third_qualify,p_advance
A,Mexico,1881,2,6,3,3,0.9479,0.0521,0.0,0.0,1.0
A,South Korea,1786,2,3,0,2,0.0521,0.8512,0.0877,0.0653,0.9685
A,Czech Republic,1712,2,1,-1,2,0.0,0.0225,0.6947,0.0976,0.1201
A,South Africa,1511,2,1,-2,1,0.0,0.0743,0.2176,0.0097,0.084
B,Canada,1767,2,4,6,7,0.5927,0.4067,0.0006,0.0006,1.0
B,Switzerland,1865,2,4,3,5,0.4073,0.5776,0.0151,0.0151,1.0
B,Bosnia and Herzegovina,1616,2,1,-3,2,0.0,0.0157,0.8088,0.586,0.6017
B,Qatar,1447,2,1,-6,1,0.0,0.0,0.1756,0.1738,0.1738
C,Brazil,1978,1,1,0,1,0.5526,0.3065,0.1352,0.123,0.9821
C,Morocco,1840,1,1,0,1,0.2521,0.3965,0.3119,0.2682,0.9168
C,Scotland,1794,1,3,1,1,0.1946,0.2936,0.5012,0.3995,0.8877
C,Haiti,1536,1,0,-1,0,0.0008,0.0034,0.0517,0.033,0.0372
D,United States,1780,1,3,3,4,0.5119,0.314,0.1589,0.1491,0.975
D,Australia,1839,1,3,2,2,0.4266,0.3977,0.1516,0.1377,0.962
D,Turkey,1849,1,0,-2,0,0.0437,0.1876,0.43,0.309,0.5403
D,Paraguay,1780,1,0,-3,1,0.0179,0.1007,0.2596,0.1836,0.3021
E,Germany,1939,1,3,6,7,0.7315,0.1656,0.1026,0.1017,0.9989
E,Ivory Coast,1743,1,3,1,1,0.2379,0.5631,0.1974,0.1864,0.9874
E,Ecuador,1890,1,0,-1,0,0.0305,0.2689,0.684,0.5955,0.8949
E,Curacao,1427,1,0,-6,1,0.0001,0.0024,0.016,0.0054,0.0079
F,Netherlands,1944,1,1,0,2,0.457,0.3616,0.1668,0.1494,0.968
F,Sweden,1755,1,3,4,5,0.1783,0.2371,0.5795,0.5496,0.9651
F,Japan,1910,1,1,0,2,0.3635,0.3987,0.2141,0.1893,0.9515
F,Tunisia,1585,1,0,-4,1,0.0013,0.0025,0.0396,0.0212,0.025
G,Belgium,1879,1,1,0,1,0.5603,0.268,0.1262,0.1025,0.9308
G,Egypt,1711,1,1,0,1,0.2009,0.3547,0.2562,0.1951,0.7507
G,Iran,1756,1,1,0,2,0.1958,0.2568,0.3577,0.1713,0.6238
G,New Zealand,1578,1,1,0,2,0.043,0.1205,0.2598,0.1368,0.3004
H,Spain,2129,1,1,0,0,0.8041,0.1537,0.0376,0.0319,0.9897
H,Uruguay,1870,1,1,0,1,0.1511,0.4661,0.2862,0.1734,0.7906
H,Cape Verde,1606,1,1,0,0,0.028,0.2378,0.3345,0.2197,0.4854
H,Saudi Arabia,1598,1,1,0,1,0.0168,0.1424,0.3416,0.2268,0.386
I,France,2084,1,3,2,3,0.764,0.2253,0.0105,0.0105,0.9998
I,Norway,1929,1,3,3,4,0.2264,0.5512,0.2215,0.2031,0.9807
I,Senegal,1839,1,0,-2,1,0.0096,0.2209,0.6717,0.4607,0.6912
I,Iraq,1592,1,0,-3,1,0.0001,0.0026,0.0963,0.0383,0.041
J,Argentina,2128,1,3,3,3,0.9059,0.0919,0.0021,0.0021,0.9999
J,Austria,1857,1,3,2,3,0.0915,0.7019,0.2004,0.155,0.9484
J,Algeria,1759,1,0,-3,0,0.0025,0.1935,0.5169,0.2778,0.4738
J,Jordan,1653,1,0,-2,1,0.0001,0.0127,0.2806,0.1149,0.1277
K,Colombia,1998,1,3,2,3,0.6961,0.2592,0.0418,0.0393,0.9947
K,Portugal,1967,1,1,0,1,0.2761,0.5018,0.1731,0.1009,0.8788
K,DR Congo,1674,1,1,0,1,0.0217,0.1431,0.4313,0.2583,0.4231
K,Uzbekistan,1698,1,0,-2,1,0.0061,0.0958,0.3538,0.2204,0.3223
L,England,2055,1,3,2,4,0.9823,0.0165,0.0012,0.0012,0.9999
L,Croatia,1881,1,0,-2,2,0.0133,0.8087,0.1293,0.0808,0.9028
L,Ghana,1557,1,3,1,1,0.0038,0.1347,0.7616,0.3662,0.5046
L,Panama,1683,1,0,-1,0,0.0007,0.0402,0.1079,0.0629,0.1038
